Position,Player,WS
 C,Rudy Gobert,10.64
 C,Karl-Anthony Towns,10.1
 C,Nikola Jokic,9.2
 C,DeAndre Jordan,9.02
 C,Hassan Whiteside,7.9
 C,Andre Drummond,7.74
 C,Steven Adams,7.6
 C,Clint Capela,7.26
 C,Mitchell Robinson,6.449999999999999
 C,Jarrett Allen,6.3
 C,Jonas Valanciunas,6.2
 C,Enes Kanter,6.14
 C,Derrick Favors,5.9
 C,Joel Embiid,5.6
 C,Nikola Vucevic,5.5
 C,Dwight Howard,5.46
 C,Brook Lopez,5.24
 C,Myles Turner,5.16
 C,Serge Ibaka,5.139999999999999
 C,Dwight Powell,5.1
 C,DeMarcus Cousins,5.1
 C,Taj Gibson,4.860000000000001
 C,Tristan Thompson,4.840000000000001
 C,Marc Gasol,4.819999999999999
 C,Daniel Theis,4.3
 C,Cody Zeller,4.26
 C,Deandre Ayton,4.1
 C,Willie Cauley-Stein,4.0600000000000005
 C,Gorgui Dieng,4.0
 C,Ed Davis,3.9
 C,Jakob Poeltl,3.8999999999999995
 C,JaVale McGee,3.54
 C,Jaxson Hayes,3.5
 C,Nerlens Noel,3.4800000000000004
 C,Richaun Holmes,3.4
 C,Robin Lopez,3.28
 C,Bismack Biyombo,3.22
 C,Dewayne Dedmon,3.08
 C,Aron Baynes,2.9
 C,Thomas Bryant,2.8666666666666667
 C,Alex Len,2.8600000000000003
 C,Ivica Zubac,2.725
 C,Tyson Chandler,2.6599999999999997
 C,Wendell Carter Jr.,2.5999999999999996
 C,Frank Kaminsky,2.48
 C,Ian Mahinmi,2.4400000000000004
 C,Kyle O'Quinn,2.4200000000000004
 C,Mo Bamba,2.1
 C,Trey Lyles,2.0799999999999996
 C,Meyers Leonard,1.9600000000000002
 C,Thon Maker,1.575
 C,Marquese Chriss,1.4249999999999998
 C,Boban Marjanovic,1.3
 C,Jahlil Okafor,1.2600000000000002
 C,Damian Jones,1.1
 C,Luke Kornet,1.0
 C,Tony Bradley,0.9333333333333335
 C,Bruno Fernando,0.8
 C,Naz Reid,0.8
 C,Goga Bitadze,0.6
 C,Vincent Poirier,0.3
 C,Dewan Hernandez,0.0
 C,Justin Patton,0.0
 F,Isaiah Hartenstein,0.8
 F,Dragan Bender,0.15000000000000002
 G,Allen Crabbe,2.48
 G,Vince Carter,1.7400000000000002
 G,Allonzo Trier,0.7
 PF,Giannis Antetokounmpo,11.239999999999998
 PF,Anthony Davis,10.34
 PF,LaMarcus Aldridge,8.379999999999999
 PF,Al Horford,7.2
 PF,Bam Adebayo,6.366666666666667
 PF,Draymond Green,6.16
 PF,Jayson Tatum,6.1000000000000005
 PF,Paul Millsap,5.7
 PF,Danilo Gallinari,5.64
 PF,John Collins,5.433333333333334
 PF,Kevin Love,5.28
 PF,Montrezl Harrell,5.24
 PF,Pascal Siakam,5.2
 PF,Domantas Sabonis,5.175
 PF,Mason Plumlee,4.9
 PF,Blake Griffin,4.859999999999999
 PF,Marvin Williams,4.74
 PF,Thaddeus Young,4.6
 PF,Jerami Grant,4.34
 PF,Kelly Olynyk,4.319999999999999
 PF,Kristaps Porzingis,4.3
 PF,Julius Randle,4.1
 PF,Aaron Gordon,4.08
 PF,Larry Nance Jr.,4.06
 PF,P.J. Tucker,3.9799999999999995
