Position,Player,WS
 C,Mitchell Robinson,6.449999999999999
 C,Steven Adams,6.2
 C,Hassan Whiteside,5.3
 C,DeAndre Jordan,5.3
 C,Clint Capela,5.1000000000000005
 F,Isaiah Hartenstein,0.8
 F,Dragan Bender,0.16666666666666666
 G,Vince Carter,1.175
 G,Allonzo Trier,0.7
 G,Allen Crabbe,0.35000000000000003
 PF,John Collins,4.9
 PF,Kristaps Porzingis,4.3
 PF,Bam Adebayo,4.2
 PF,Larry Nance Jr.,3.85
 PF,Kelly Olynyk,3.7999999999999994
 PG,Kemba Walker,5.4
 PG,George Hill,4.6
 PG,Eric Bledsoe,3.9
 PG,Jordan Clarkson,3.5
 PG,De'Aaron Fox,3.5
 SF,Brandon Clarke,4.4
 SF,Davis Bertans,3.5
 SF,Josh Hart,3.05
 SF,Maurice Harkless,3.05
 SF,Doug McDermott,2.8333333333333335
 SG,Paul George,3.9
 SG,Danny Green,3.4
 SG,Wesley Matthews,3.1
 SG,Terence Davis,3.0
 SG,Andre Roberson,2.8
